date,LWDOWN,SWDOWN,PSFC,Q2D,T2D,U2D,V2D,RAINRATE,area_sqkm,lat,lon
2015-11-18 10:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-18 11:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-18 12:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-18 13:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-18 14:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-18 15:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-18 16:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-18 17:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-18 18:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-18 19:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-18 20:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-18 21:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-18 22:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-18 23:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-19 00:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-19 01:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-19 02:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-19 03:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-19 04:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-19 05:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-19 06:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-19 07:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-19 08:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-19 09:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-19 10:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-19 11:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-19 12:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-19 13:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-19 14:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-19 15:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-19 16:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-19 17:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-19 18:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-19 19:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-19 20:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-19 21:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-19 22:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-19 23:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-20 00:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-20 01:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-20 02:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-20 03:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-20 04:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-20 05:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-20 06:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-20 07:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-20 08:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-20 09:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-20 10:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-20 11:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-20 12:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-20 13:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-20 14:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-20 15:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-20 16:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-20 17:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-20 18:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-20 19:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-20 20:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-20 21:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-20 22:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-20 23:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-21 00:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-21 01:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-21 02:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-21 03:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-21 04:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-21 05:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-21 06:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-21 07:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-21 08:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-21 09:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-21 10:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-21 11:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-21 12:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-21 13:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-21 14:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-21 15:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-21 16:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-21 17:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-21 18:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-21 19:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-21 20:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-21 21:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-21 22:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-21 23:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-22 00:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-22 01:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-22 02:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-22 03:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-22 04:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-22 05:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-22 06:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-22 07:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-22 08:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-22 09:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-22 10:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-22 11:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-22 12:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-22 13:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-22 14:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-22 15:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-22 16:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-22 17:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-22 18:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-22 19:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-22 20:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-22 21:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-22 22:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-22 23:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-23 00:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-23 01:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-23 02:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-23 03:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-23 04:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-23 05:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-23 06:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-23 07:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-23 08:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-23 09:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-23 10:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-23 11:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-23 12:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-23 13:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-23 14:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-23 15:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-23 16:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-23 17:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-23 18:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-23 19:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-23 20:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-23 21:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-23 22:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-23 23:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-24 00:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-24 01:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-24 02:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-24 03:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-24 04:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
